#TAG,NAME IN REPO (or git url),PURPOSE
#,#--X programs--#,
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xorg-server,"is the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
#,#--Suckless programs--#,
,dunst,"is a suckless notification system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
G,https://github.com/vladdoster/dmenu.git,"is my custom build of suckless's dynamic menu manager."
G,https://github.com/vladdoster/dwm-blocks.git,"is my custom build of suckless's dynamic window manager status bar."
G,https://github.com/vladdoster/dwm.git,"is my custom build of suckless's dynamic window manager."
G,https://github.com/vladdoster/st.git,"is my custom build of suckless's terminal emulator."
#,#--desktop programs--#,
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used."
,libnotify,"allows desktop notifications."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,xcape,"gives the special escape/super mappings."
#, #--Vim related--#,
,bash-language-server, "is the language server for shell scripts"
,neovim,"a tidier vim with some useful features"
A,dockerfile-language-server-bin, "is the language server for Dockerfiles"
A,efm-langserver-git, "is a general purpose language server."
G,https://github.com/vladdoster/vimwiki.git,"is a personal knowledge base."
#,#--Terminal related--#,
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,lshw,"is small tool to provide detailed information on the hardware configuration of the machine."
,tldr,"is community effort to simplify man pages with practical examples."
,tmux,"is a terminal multiplexer and the dropdown window."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
#,#--Fonts--#,
,adobe-source-code-pro-fonts,"is the main font used system wide"
,noto-fonts-emoji,"is an emoji font."
A,libxft-bgra,"allows ST to have color emojis without crashing"
#,#--Networking--#,
,networkmanager,"does exactly what it sounds like."
,socat,"is a socket utility."
#,#--Personal--#,
,docker,"is a way to pack, ship and run any application as a lightweight container."
,docker-compose,"allows for fast, isolated development environments using Docker"
A,code, "is a multi-language IDE by Microsoft."
A,gitkraken, "is a program to manage git repositories"
A,google-chrome,"is the only program in here your girlfriend has ever heard of."
#,#--Accessing filesystems--#,
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
A,simple-mtpfs-git,"enables the mounting of cell phones."
#,#--File info/unpacking--#,
,atool,"manages and gives information about archives."
,mediainfo,"shows audio and video information."
,unrar,"extracts rar's."
,unzip,"unzips zips."
#,#--Misc.--#,
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,bc,"is used for a dropdown calculator."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,mpv,"is a free, opensource, and crossplatform media player"
,sxiv,"is a minimalist image viewer."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,task-spooler,"queues commands or files for download."
